한국명,영문명,ID,재검수 판정,기존 추천,최종 추천,검수 메모
다그나,Dagna,dagna,유지,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,재검수 후 기존 추천 유지
드레린,Draelyn,draelyn,유지,성흔의 수호 (Astral Guardian) 세트 + 성스러운 날개 (Wings of Grace) 세트,성흔의 수호 (Astral Guardian) 세트 + 성스러운 날개 (Wings of Grace) 세트,재검수 후 기존 추천 유지
에일리스,Eirlys,eirlys,유지,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,재검수 후 기존 추천 유지
에이보르,Eivor Varinsdottir,eivor-varinsdottir,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
에르드,Elddr,elddr,유지,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,재검수 후 기존 추천 유지
이스트리드,Estrid,estrid,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
페르샤,Falcia,falcia,수정 확정,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,Prospector End Game과 Fastidious Stage 3 방향 일치로 기존 추천 교정
펜리스,Fenris,fenris,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
그레시우스,Glacius,glacius,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
관우,Guan Yu,guan-yu,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
그웬돌린,Gwendolyn,gwendolyn,유지(자료 차이),빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
하르벤,Harpun,harpun,유지,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,재검수 후 기존 추천 유지
이졸데,Isolde,isolde,유지(자료 차이),성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
젤라,Jeera,jeera,유지,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,재검수 후 기존 추천 유지
케인,Kane,kane,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
카드그림,Khadgrim,khadgrim,수정 확정,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,Prospector End Game과 Fastidious Stage 3 방향 일치로 기존 추천 교정
킹 할츠,King Harz,king-harz,유지(자료 차이),성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
크로돌,Krodor,krodor,유지(자료 차이),성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
미나,Lady Mina,lady-mina,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
라트로크,Lightlocke,lightlocke,유지,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,재검수 후 기존 추천 유지
여포,Lu Bu,lu-bu,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
루루,Lulu,lulu,유지,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,재검수 후 기존 추천 유지
릴크스,Lynx,lynx,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
말비라,Malvira,malvira,유지(자료 차이),성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
마리엘,Marri,marri,유지,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,재검수 후 기존 추천 유지
모르,Maul,maul,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
미덴,Midan,midan,수정 확정,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,빛의 은혜 (Light's Grace) 세트 + 불멸의 의지 (Unshaken Will) 세트,Prospector End Game과 Fastidious Stage 3 방향 일치로 기존 추천 교정
녹턴,Nocturne,nocturne,유지,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,재검수 후 기존 추천 유지
오라그,Olague,olague,수정 확정,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,Prospector End Game과 Fastidious Stage 3 방향 일치로 기존 추천 교정
로크스,Rhox,rhox,유지(자료 차이),성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
레이븐홀드,Rivenhald,rivenhald,유지,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,재검수 후 기존 추천 유지
로크,Rork,rork,유지(자료 차이),불굴의 용사 (Immortal Warrior) 세트 + 재앙 드래곤 (Cataclysm) 세트,불굴의 용사 (Immortal Warrior) 세트 + 재앙 드래곤 (Cataclysm) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
사티,Sadie,sadie,유지(자료 차이),빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
샤미르,Shamir,shamir,수정 확정,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,Prospector End Game과 Fastidious Stage 3 방향 일치로 기존 추천 교정
솔라리스,Solaris,solaris,유지,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,재검수 후 기존 추천 유지
소설백,Su Yue,su-yue,유지(자료 차이),악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
바크라,Valkyra,valkyra,유지(자료 차이),악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
워로스,Voroth,voroth,유지,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,재검수 후 기존 추천 유지
와엘,Vortex,vortex,유지(자료 차이),빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,신뢰 가능한 최신 자료 간 추천 차이가 있어 기존 세팅을 강제 변경하지 않음
