id,한국명,영문명,기존추천,최종추천,권장옵션,검수메모
imani,엘마,Imani,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",엘마는 배치 직후 20초 강화 구간의 기본 공격 비중이 높아 마수의 포효 효율이 매우 높습니다.
janus-grismore,제누스,Janus Grismore,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 치명타 피해, 공격 속도","제누스는 화상을 제외한 대부분의 피해가 기본 공격으로 판정되어 마수의 포효가 강하게 적용됩니다. 일부 DB는 재앙 드래곤을 제시하지만, 영웅 메커니즘을 반영한 전용 빌드에서는 마수의 포효를 최종 우선으로 봅니다."
knight-arlott,알로트,Knight Arlott,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",기존 저주신교 검수에서 확정한 최대 체력·피격 회복 중심 최종 탱커 세팅을 유지합니다.
lord-phineas,악마군주피니아스,Lord Phineas,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",전용 장비까지 포함한 일반 엔드게임에서는 악의 복수와 재앙 드래곤 조합이 가장 높은 최종 효율을 보입니다.
lyra,라이라,Lyra,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",단일 마법 딜과 마법 저항 감소를 함께 활용하며 최종 단계에서는 재앙 드래곤 치명타 세팅이 우선됩니다.
malrik,말리크,Malrik,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격 속도, 공격력%, 치명타율, 치명타 피해",지원 기능이 있지만 자체 딜 비중도 높아 최종 장비 기준으로는 악의 복수와 재앙 드래곤을 사용합니다.
morene,모레이나,Morene,,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","모레이나는 최신 DB에 별도 최종 단계 빌드가 충분히 정리되어 있지 않아, 현재 엔드게임 추천표의 1순위 조합인 전쟁의 주인과 영혼의 비밀을 적용했습니다."
myca,마이카,Myca,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격 속도, 공격력%, 치명타율, 치명타 피해",화상과 단일 대상 지속딜을 살리면서 재앙 드래곤 중첩을 유지하는 최종 세팅입니다.
nocturne,녹턴,Nocturne,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",기본 공격 비중이 높은 단일 마법 딜러라 마수의 포효를 최종 추천으로 유지합니다.
orim,오림,Orim,,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",최종 탱커 세팅은 성흔의 수호와 불멸의 의지로 최대 HP와 피격 회복을 강화합니다.
pyros,파로스,Pyros,,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,"공격 속도, 분노 회복, 공격력%, 치명타율",파로스는 개인 딜보다 연옥 영주 궁극기의 빠른 회전과 파티 강화 가치가 더 중요해 공격 속도·분노 회복을 우선하고 전쟁의 주인 + 영혼의 비밀을 대표 추천으로 둡니다.
scorch,스코치,Scorch,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",다단 기본 공격과 궁극기 강화 구조라 최종 단계에서 마수의 포효를 사용합니다.
setram,사트라무,Setram,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",사트라무의 궁극기는 강화 기본 공격으로 취급되므로 마수의 포효가 핵심입니다. 전용 왼쪽 장비가 있으면 악의 복수 효율이 더욱 높습니다.
solcadens,솔카덴스,Solcadens,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","연옥 영주이자 단일 마법 딜러로, 전용 진영 장비까지 포함한 일반 엔드게임에서는 재앙 드래곤 조합이 최종 추천입니다."
soleil,소레일,Soleil,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존 북쪽 경계 검수에서 확정한 최종 치명타 딜 세팅을 유지합니다.
titus,티투스,Titus,,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",자가 회복형 수호자라 최종 단계에서는 최대 체력과 피격 회복을 강화하는 성흔의 수호 + 불멸의 의지가 가장 안정적입니다.
twinfiend,트윈즈,Twinfiend,,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,"공격력%, 분노 회복, 공격 속도, 치명타율","트윈즈는 궁극기 회전과 영주 지원 가치가 핵심이며, 전용 빌드 기준 엔드게임은 악의 복수 + 영혼의 비밀이 우선됩니다."
violetta-vane,비올레타베인,Violetta Vane,,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",비올레타 베인은 궁극기 강화 구간과 지옥 비명의 20초 피해·치명타 피해 버프가 잘 맞아 현재 엔드게임 대표 세팅으로 확인됩니다.
xena,젠나,Xena,,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","배치 후 짧은 폭딜 구간이 강한 영웅이지만, 최종 단계 기준으로는 재앙 드래곤 치명타 세팅이 가장 높은 기대값을 보입니다."
zilitu,제리엘,Zilitu,,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해","제리엘의 궁극기와 고정 피해는 마수의 포효의 영향을 크게 받으며, 재앙 드래곤이나 영혼의 비밀보다 마수의 포효 효율이 명확히 높습니다."
