한국명,영문명,기존 추천,재검수 최종,판정,검수 메모
드레가,Drayga,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
지젤,Gisele,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
포셸,Gluttony,성흔의 수호 (Astral Guardian) 세트 + 재앙 드래곤 (Cataclysm) 세트,성흔의 수호 (Astral Guardian) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
탐욕,Greed,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
하츠트,Hatssut,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
키기리,Kigiri,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
카니샤,Kineza,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
코모도,Komodo,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
레이칸,Leikan,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
루가르,Lugaru,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
러스트,Lust,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
마그누스,Magmus,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
마우,Maw,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
모리던,Moriden,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
나블레스,Nauvras,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
썬더,Raizan,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
레고,Rygar,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
살라잘,Salazar,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,수정,Prospector End Game + Fastidious Stage 3가 Wicked Vengeance + Hell's Lament로 일치.
세르게이,Sergei,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,유지-자료제한,최신 한쪽 자료는 현재 세팅을 지지하지만 양쪽 모두의 완전한 세트 데이터가 부족해 기존 추천 유지.
소르제스,Sorzus,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지-자료제한,최신 한쪽 자료는 현재 세팅을 지지하지만 양쪽 모두의 완전한 세트 데이터가 부족해 기존 추천 유지.
손오공,Sun Wukong,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
톨레도,Torodor,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
트윌라,Twyla,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지-자료충돌,Prospector와 Fastidious의 최종/Stage 3 세부 추천이 달라 기존 추천을 유지.
발레리야,Valeriya,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
블라도프,Vladov,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
볼카,Volka,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
격노,Wrath,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
유리,Yuri,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,유지,최신 End Game/Stage 3 자료 또는 영웅 구조와 현재 추천이 일치하여 유지.
