nameKr,nameEn,class,rarity,lord,status,gear,recommended_options,source
사가스,Sargak,궁수,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
카헬리안,Carnelian,힐러,전설,N,기존 검수값 보존,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 치유 효과, 분노 회복.","2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
두르가,Durza,마법사,전설,N,기존 검수값 보존,질풍 (Whirlwind) 세트 + 마력 (Mana Spring) 세트,"공격 속도, 분노 회복, HP%, 방어력%.","2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
알다이야,Ardea,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
우레딘,Uredin,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
크로우장군,Admiral Claw,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
굴드락,Gul'Drak,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"치명타율, 치명타 피해, 공격 속도, 공격력%.",2026-09-17 연옥(Infernal Blast) 엔드게임 전수검수: Fastidious.gg + Prospector.gg + Watcher of Realms Wiki 교차검증
세르게이,Sergei,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
피에르,Pierre,마법사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격 속도, 치명타율, 치명타 피해, 공격력%.","2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
바로드라쿠스,Varro Draccus,마법사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
그레첸,Gretchen,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 연옥(Infernal Blast) 엔드게임 전수검수: Fastidious.gg + Prospector.gg + Watcher of Realms Wiki 교차검증
여포,Lu Bu,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
시슬라,Sythra,궁수,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
드라큘라,Count Dracula,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
조지,Jorge,수호자,에픽,N,기존 검수값 보존,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복.","2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
아테로크스,Atrox,전사,에픽,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.","2026-09-17 저주신교 엔드게임 전수검수: Fastidious.gg 중심, Prospector.gg 및 WoR Wiki 보조 교차검증"
바르가스,Vargus,궁수,에픽,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
어둠의 에지오,Ezio della Notte,전사,전설,N,기존 검수값 보존,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해.",2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
