id,한국명,영문명,직업,기존/신규,추천 장비,권장 옵션,검수 메모,검수 출처
dassomi,다스미,Dassomi,힐러,v2.13.7 신규,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, HP%, 치유 효과, 분노 회복",공격력 기반 광역 치유와 영감 지원을 함께 살리기 위해 최종 단계의 빛의 은혜 + 성스러운 날개 조합을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
elowyn,엘로윈,Elowyn,힐러,v2.13.7 신규,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, HP%, 치유 효과, 분노 회복",치유와 분노 회복을 동시에 담당하므로 공격 속도·공격력·치유 효과를 챙기면서 성스러운 날개로 핵심 딜러 지원까지 더합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
ezryn,에젠,Ezryn,힐러,v2.13.7 신규,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, HP%, 치유 효과, 분노 회복",단일 치유와 생존 지원을 안정적으로 반복하기 위해 최종 단계의 빛의 은혜 + 성스러운 날개를 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
faelin,페이린,Faelin,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",독과 마법 피해를 지속적으로 누적하는 딜러라 치명타 중첩을 유지하기 좋은 재앙 드래곤 중심 최종 딜 세팅을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
falcia,페르샤,Falcia,전사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",궁극기 폭딜 구간과 지옥 비명의 20초 강화 효과가 잘 맞아 엔드게임 대표 세팅으로 채택했습니다.,"2026-09-17 북쪽 경계 왕좌 엔드게임 재검수: Fastidious.gg + Prospector.gg 중심, 영웅별 자료 교차검증"
filippa,필리파,Filippa,궁수,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기본 공격 지속 비중이 높은 궁수라 최종 단계에서 확인되는 마수의 포효 조합으로 평타 화력을 강화합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
gonkba,군바,Gonkba,마법사,v2.13.7 신규,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,"공격력%, 공격 속도, 분노 회복, HP%","희귀 초반 광역 마법사로 최신 DB에 단계별 최종 빌드 표본이 부족해, End Game 1순위 조합인 전쟁의 주인 + 영혼의 비밀을 대표 세팅으로 적용합니다.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
graves-greybeard,해골그림자회색수염,Graves Greybeard,수호자,v2.13.7 신규,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격력%, HP%, 공격 속도, 분노 회복",단순 탱킹보다 영감 지원과 버티기를 함께 수행하는 영웅이라 공격력 기반 지원 빌드인 전쟁의 주인 + 성스러운 날개를 대표 최종 세팅으로 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
helga,헬가,Helga,전사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기본 공격과 공격 속도 효율이 높은 전사로 최종 단계에서 악의 복수 + 마수의 포효가 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
init,이니트,Init,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",마법 피해와 소환체 압박을 치명타 기반으로 누적할 수 있어 최종 단계의 악의 복수 + 재앙 드래곤을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
janqhar,젠카이어,Janqhar,전사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",근접 기본 공격 중심 전사라 최종 단계에서 악의 복수 + 마수의 포효가 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
kaede,카에드,Kaede,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기본 공격 비중이 높은 딜러로 최종 단계에서 악의 복수 + 마수의 포효가 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
kalina,카리넬,Kalina,마법사,v2.13.7 신규,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,"공격력%, 공격 속도, 분노 회복, 공격력, HP%",카리넬은 치명타가 발생하지 않는 특수 영웅이므로 치명타 발동형 재앙 드래곤을 제외합니다. 공격력·공격 속도·분노 회복 중심의 전쟁의 주인 + 영혼의 비밀을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
khamet,카메트,Khamet,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",강력한 광역 마법 피해를 치명타로 누적하기 쉬워 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
laurel,라우렐,Laurel,마법사,v2.13.7 신규,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 분노 회복, HP%, 공격력%",라우렐의 핵심은 직접 딜이 아니라 배치·퇴각 및 궁극기를 통한 분노 공급입니다. 공격 속도와 분노 회복을 높이는 지원형 최종 세팅을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
lili,릴리,Lili,힐러,기존 보존,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격력%, 공격 속도, 치유 효과, 분노 회복",공격력 기반 단일 치유와 치명 피해 방지 역할을 살리면서 성스러운 날개로 핵심 딜러의 공격력까지 지원하는 최종 힐러 세팅입니다.,2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
lyra,라이라,Lyra,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",단일 마법 딜과 마법 저항 감소를 함께 활용하며 최종 단계에서는 재앙 드래곤 치명타 세팅이 우선됩니다.,2026-09-17 연옥(Infernal Blast) 엔드게임 전수검수: Fastidious.gg + Prospector.gg + Watcher of Realms Wiki 교차검증
malrik,말리크,Malrik,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격 속도, 공격력%, 치명타율, 치명타 피해",지원 기능이 있지만 자체 딜 비중도 높아 최종 장비 기준으로는 악의 복수와 재앙 드래곤을 사용합니다.,2026-09-17 연옥(Infernal Blast) 엔드게임 전수검수: Fastidious.gg + Prospector.gg + Watcher of Realms Wiki 교차검증
moriden,모리던,Moriden,전술마스터,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",Fastidious 최종 단계에서 악의 복수 + 재앙 드래곤 조합이 직접 확인됩니다.,2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
nastya,나스티야,Nastya,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",독과 광역 마법 화력을 빠르게 누적하며 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
nauvras,나블레스,Nauvras,마법사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격 속도, 공격력%, 치명타율, 치명타 피해",공격 속도를 충분히 확보한 뒤 재앙 드래곤 중첩을 유지하는 엔드게임 세팅입니다.,2026-09-17 악몽 의회 엔드게임 전수검수: Fastidious.gg + Prospector.gg + WoR Wiki 빌드 교차검증
nazeem,나짐,Nazeem,마법사,v2.13.7 신규,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 분노 회복, HP%, 공격력%",궁극기 회전과 지원이 핵심이라 공격 속도·분노 회복을 최우선으로 두며 최종 단계에서 전쟁의 주인 + 성스러운 날개가 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
ne-zha,나타,Ne Zha,전사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","권장 옵션: 공격력%, 치명타율, 공격 속도, 치명타 피해.","2026-09-17 엔드게임 기준 재정리: Fastidious.gg 중심, Prospector/HellHades 보조 교차검증"
nerissa,네리사,Nerissa,힐러,v2.13.7 신규,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, HP%, 치유 효과, 분노 회복",지속 치유와 파티 지원을 반복하는 힐러로 최종 단계의 빛의 은혜 + 성스러운 날개 조합을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
nisalt,나사트,Nisalt,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",독·연소 상태를 반복적으로 부여하는 마법 딜러로 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
numera,누메라,Numera,전사,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",단일 마법 공격과 지속 피해를 치명타 기반으로 누적할 수 있어 재앙 드래곤의 중첩 효율이 높습니다.,2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
raiden,레이든,Raiden,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",광역 마법 기본 공격과 궁극기로 치명타 중첩을 유지하기 쉬워 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
selene,셀레네,Selene,전사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기본 공격 지속 화력 비중이 높은 전사라 최종 단계에서 악의 복수 + 마수의 포효가 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
selkath,셀카스,Selkath,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",낮은 기본 공격 속도를 보완하면서 치명타 중첩을 유지할 수 있도록 최종 단계의 악의 복수 + 재앙 드래곤 조합을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
serephina,세레피나,Serephina,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",단일 마법 딜을 치명타 중심으로 극대화하는 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
thallen,탈렌,Thallen,전사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",마법 피해를 연속으로 누적하는 전사라 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
trusk,트룩스,Trusk,수호자,v2.13.7 신규,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,"방어력%, HP%, 공격 속도, 치명타율, 치명타 피해","트룩스는 방어력 비례 피해를 활용하므로 일반 공격력 딜러 세팅이 아니라 방어력%를 우선하며, 최종 단계의 성흔의 수호 + 강철 의지를 적용합니다.",2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
valara,발레리아,Valara,전술마스터,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",이동·광역·마저 감소를 활용하면서 직접 화력도 높아 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
varro-draccus,바로드라쿠스,Varro Draccus,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",최신 영웅이라 공개 DB에 완성된 장비 빌드 표본이 아직 부족합니다. 현재 공격형 마법사·소환체 구조를 기준으로 범용 최종 딜 조합인 악의 복수 + 재앙 드래곤을 우선 적용하며 추후 전용 장비 데이터가 축적되면 재검수합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
venoma,베노마,Venoma,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",직접 딜보다 영주 효과 비중이 크지만 최종 단계 딜 세팅은 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
vixera,베신라,Vixera,마법사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",독 중첩을 빠르게 쌓는 공속형 마법사라 최종 단계에서 악의 복수 + 재앙 드래곤이 직접 확인됩니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
vorn,페르네,Vorn,궁수,기존 보존,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",20초 지속 궁극기 동안 3연타와 독 중첩이 집중되므로 지옥 비명의 20초 피해·치명타 피해 강화와 궁합이 매우 좋습니다.,2026-09-17 관성의 화살(Star Piercers) 엔드게임 전수검수: Prospector.gg + Fastidious.gg + Watcher of Realms Wiki 교차검증
xasny,사스니,Xasny,전사,v2.13.7 신규,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",지속 마법 피해를 치명타 기반으로 누적하는 구조라 최신 엔드게임 빌드의 악의 복수 + 재앙 드래곤을 적용합니다.,2026-09-17 비법회(Esoteria Order) 엔드게임 전수검수: Fastidious.gg 중심 + Prospector.gg + Watcher of Realms Wiki 교차검증
