id,한국명,영문명,기존추천,범용추천,후반_졸업,권장옵션,검수메모
constance,콘스탄스,Constance,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 신성한 영혼 (Invigoration) 세트,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 분노 회복, 치유 효과",공격력 기반 치유와 영감을 함께 살리는 세팅입니다. 후반에는 성스러운 날개로 치유와 공격 지원을 강화합니다.
crach,크레시,Crach,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",범용과 후반 세팅을 서로 다른 성장 단계 기준으로 분리했습니다.
cyrene,셀레니,Cyrene,질풍 (Whirlwind) 세트,불굴의 용사 (Immortal Warrior) 세트 + 마력 (Mana Spring) 세트,,"분노 회복, 공격 속도, HP%, 방어력%","코스트·궁극기 순환이 핵심입니다. 분노 특화는 질풍 (Whirlwind) 세트 + 마력 (Mana Spring) 세트, 생존까지 필요하면 질풍 (Whirlwind) 세트 + 불멸의 의지 (Unshaken Will) 세트도 사용합니다."
dalyn,달린,Dalyn,질풍 (Whirlwind) 세트,불굴의 용사 (Immortal Warrior) 세트 + 마력 (Mana Spring) 세트,성흔의 수호 (Astral Guardian) 세트 + 성스러운 날개 (Wings of Grace) 세트,"분노 회복, 공격 속도, HP%, 방어력%",딜보다 코스트 생성과 생존을 우선합니다. 중간 단계에서 아군 버프가 필요하면 불굴의 용사 (Immortal Warrior) 세트 + 신성한 영혼 (Invigoration) 세트도 유효합니다.
dane,어둠의총사데인,Dane,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존의 악의 복수+영혼의 비밀 혼합 표기를 폐기하고 실제 단계별 조합으로 분리했습니다.
diaochan,초선,DiaoChan,성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 신성한 영혼 (Invigoration) 세트,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 분노 회복, 치유 효과","공격력 기반 치유·지원형. 범용은 신성한 영혼, 후반에는 성스러운 날개를 사용합니다."
draelyn,드레린,Draelyn,성흔의 수호 (Astral Guardian) 세트 + 성스러운 날개 (Wings of Grace) 세트,불굴의 용사 (Immortal Warrior) 세트 + 수호 (Guardian) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",전열 생존을 우선하는 빌드입니다. 후반에는 최대 HP와 피격 회복을 강화합니다.
edith,에디스,Edith,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",에디스는 후반에도 강철 의지를 유지하는 빌드가 확인되어 불멸의 의지로 임의 변경하지 않았습니다.
eirlys,에일리스,Eirlys,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 신성한 영혼 (Invigoration) 세트,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 분노 회복, 치유 효과","범용은 신성한 영혼의 공격 지원, 후반에는 빛의 은혜+성스러운 날개 조합이 확인됩니다."
eivor-varinsdottir,에이보르,Eivor Varinsdottir,지옥 비명 (Hell's Lament) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",Fastidious 단계별 빌드와 Prospector/HellHades의 후반 자료를 교차 확인했습니다.
eona,이오나,Eona,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",전형적인 궁극기 누적형 범용 세팅에서 후반 재앙 드래곤 세팅으로 전환합니다.
eunomia,유노미아,Eunomia,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,불굴의 용사 (Immortal Warrior) 세트 + 신성한 영혼 (Invigoration) 세트,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 분노 회복, 치유 효과","생존을 포함한 범용 추천입니다. 공격력 중심 운용에서는 전쟁의 주인 (Warlord) 세트 + 신성한 영혼 (Invigoration) 세트도 사용되며, 후반에는 빛의 은혜+성스러운 날개가 확인됩니다."
ezio-auditore,에지오 아디토레,Ezio Auditore,지옥 비명 (Hell's Lament) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 지옥 비명 (Hell's Lament) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","출처별 후반 추천이 갈립니다. Prospector의 엔드게임은 지옥 비명, HellHades는 악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트도 권장하므로 콘텐츠와 장비 옵션에 따라 선택합니다."
guan-yu,관우,Guan Yu,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존의 악의 복수+영혼의 비밀 혼합 조합을 실제 단계별 조합으로 수정했습니다.
idril,가드리엘,Idril,지옥 비명 (Hell's Lament) 세트,전쟁의 주인 (Warlord) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",가드리엘은 기본 공격 비중이 높아 마수의 포효가 범용·후반 모두 핵심입니다.
ingrid,잉그리드,Ingrid,전쟁의 주인 (Warlord) 세트 + 마수의 포효 (Infernal Roar) 세트,전쟁의 주인 (Warlord) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",잉그리드는 마수의 포효가 대표적인 범용 세팅입니다. 이번 전수 재검수에서도 동일하게 확인했습니다.
kassandra,카산드라,Kassandra,지옥 비명 (Hell's Lament) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","Fastidious 후반 기준은 재앙 드래곤이며, 궁극기 폭딜을 중시할 때 지옥 비명 (Hell's Lament)도 해외 자료에서 대안으로 사용됩니다."
kigiri,키기리,Kigiri,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존의 악의 복수+영혼의 비밀 혼합 조합을 제거했습니다. 사용자가 제공한 한국 서버 장비 화면과도 방향이 일치합니다.
laya,라야,Laya,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,불굴의 용사 (Immortal Warrior) 세트 + 전의 (Morale) 세트,빛의 은혜 (Light's Grace) 세트 + 성스러운 날개 (Wings of Grace) 세트,"분노 회복, 공격 속도, HP%, 공격력%",라야는 분노 회복과 파티 지원이 핵심입니다. 공격 버프를 직접 주고 싶을 때는 전쟁의 주인 (Warlord) 세트 + 신성한 영혼 (Invigoration) 세트도 검증된 선택입니다.
lightlocke,라트로크,Lightlocke,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,전쟁의 주인 (Warlord) 세트 + 신성한 영혼 (Invigoration) 세트,전쟁의 주인 (Warlord) 세트 + 성스러운 날개 (Wings of Grace) 세트,"공격 속도, 공격력%, 분노 회복, 치유 효과","공격력 기반 치유를 살리면서 신성한 영혼으로 아군을 지원하고, 후반에는 성스러운 날개로 전환합니다."
livian,리비안,Livian,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",범용 생존 세팅과 후반 최대 체력·피격 회복 세팅을 분리했습니다.
lucius,루시우스,Lucius,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격력%, 공격 속도, 치명타율, 치명타 피해",일반 추천표보다 영웅별 단계 빌드가 더 구체적이어서 마수의 포효를 우선 적용했습니다.
meriel,메리엘,Meriel,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,"방어력%, HP%, 공격 속도, 분노 회복",방어력 기반 탱커·보조 치유 특성을 반영했습니다. 후반에도 강철 의지를 유지하는 단계별 빌드가 확인됩니다.
ne-zha,나타,Ne Zha,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존 혼합 세팅을 실제 성장 단계별 조합으로 교정했습니다.
niro,네로,Niro,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,,"공격력%, 치명타율, 공격 속도, 치명타 피해",현재 해외 DB에서 별도 단계별 졸업 빌드가 명확하지 않아 검증된 범용 추천만 표기합니다.
regulus,레굴라스,Regulus,성흔의 수호 (Astral Guardian) 세트 + 강철 의지 (Tempered Will) 세트,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복","범용은 강철 의지, 후반 단계 빌드는 불멸의 의지로 구분했습니다."
rex,렉스,Rex,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,불굴의 용사 (Immortal Warrior) 세트 + 강철 의지 (Tempered Will) 세트,성흔의 수호 (Astral Guardian) 세트 + 불멸의 의지 (Unshaken Will) 세트,"HP%, 방어력%, 공격 속도, 분노 회복",범용 생존 세팅과 후반 피격 회복 세팅을 분리했습니다.
soleil,소레일,Soleil,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해","범용은 영혼의 비밀, 후반에는 재앙 드래곤 중첩 유지가 가능한 고품질 세팅을 사용합니다."
sun-wukong,손오공,Sun Wukong,영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,악의 복수 (Wicked Vengeance) 세트 + 재앙 드래곤 (Cataclysm) 세트,"공격력%, 치명타율, 공격 속도, 치명타 피해",기존 영혼의 비밀 단독 표기를 좌·우 세트 조합으로 완성하고 후반 세팅을 별도 표기했습니다.
talin,타린,Talin,악의 복수 (Wicked Vengeance) 세트 + 영혼의 비밀 (Soulbound Arcana) 세트,전쟁의 주인 (Warlord) 세트 + 마수의 포효 (Infernal Roar) 세트,악의 복수 (Wicked Vengeance) 세트 + 마수의 포효 (Infernal Roar) 세트,"공격 속도, 치명타율, 치명타 피해, HP%",마수의 포효가 기본 후반 세팅입니다. 다만 파수꾼 진영 보너스를 받는 재앙 드래곤 (Cataclysm)의 옵션 품질이 비슷하면 더 높은 성능이 나올 수 있습니다.
